name,name:en
大名路闵行路,Daming Road Minhang Road
长治路闵行路,Changzhi Road Minhang Road
东长治路旅顺路,East Changzhi Road Lushun Road
东大名路旅顺路,East Daming Road Lushun Road
East Zhongshan No. 1 Road East Nanjing Road,中山东一路南京东路
东大名路海门路,East Daming Road Haimen Road
中山东二路金陵东路,East Zhongshan No. 2 Road East Jinling Road
中山东一路南京东路,East Zhongshan No. 1 Road East Nanjing Road
东方汇理银行大楼,Banque de l'Indochine Building
格林邮船大楼,Glen Line Building
半岛饭店,Peninsula Hotel
外滩,The Bund
米氏西餐厅,M on the Bund
魅力上海,Glamour Bar
浦东新区人民政府,Pudong New District Government
西藏南路,Xizang Road (South)
浴室,Shower
丰庄,Fengzhuang
大渡河路,Daduhe Road
真北路,Zhenbei Road
祁连山南路,South Qilianshan Road
金沙江西路,West Jinshajiang Road
金运路,Jinyun Road
中國建設銀行,China Construction Bank
川堂风,SMASH
毛主席像,Statue of Chairman Mao
全家,FamilyMart
